date,type,category,description,amount,payment_method
2024-04-18,expense,Health,Pharmacy,800,upi
2024-04-20,expense,Education,Python bootcamp,4999,credit_card
2024-04-22,expense,Food & Dining,Team lunch,1800,cash
2024-04-25,expense,Savings,RD installment,5000,bank_transfer
2024-04-28,expense,Miscellaneous,Haircut + personal care,600,cash
2024-05-01,income,Salary,Monthly salary - TCS,82000,bank_transfer
2024-05-03,expense,Rent,House rent May,18000,bank_transfer
2024-05-05,expense,Groceries,Monthly grocery,3100,upi
2024-05-06,expense,Transport,Cab rides,900,upi
2024-05-08,expense,Food & Dining,Swiggy + dining out,2800,upi
2024-05-10,expense,Utilities,Electricity spike (AC),2400,upi
2024-05-12,expense,Entertainment,Netflix + Prime,999,credit_card
2024-05-14,expense,Shopping,Amazon sale,3600,credit_card
2024-05-15,income,Freelance,Dashboard project,12000,bank_transfer
2024-05-18,expense,Health,Gym membership,2000,upi
2024-05-20,expense,Education,Online workshop,1500,upi
2024-05-22,expense,Travel,Goa trip advance,15000,credit_card
2024-05-25,expense,Savings,RD installment,5000,bank_transfer
2024-05-28,expense,Miscellaneous,Misc expenses,1200,cash
2024-06-01,income,Salary,Monthly salary - TCS,82000,bank_transfer
2024-06-03,expense,Rent,House rent June,18000,bank_transfer
2024-06-05,expense,Groceries,BigBasket,2600,upi
2024-06-06,expense,Transport,Rides,1050,upi
2024-06-08,expense,Food & Dining,Orders + dining,2200,upi
2024-06-10,expense,Utilities,Bills,1850,upi
2024-06-12,expense,Entertainment,Streaming + movies,1200,credit_card
2024-06-14,expense,Shopping,Myntra end of season,4100,credit_card
2024-06-16,income,Freelance,Web scraping project,6000,upi
2024-06-18,expense,Health,Dentist visit,2500,credit_card
2024-06-20,expense,Education,Coursera renewal,2499,credit_card
2024-06-22,expense,Food & Dining,Friends hangout dinner,2800,credit_card
2024-06-25,expense,Savings,RD installment,5000,bank_transfer
2024-06-28,expense,Miscellaneous,Repairs + misc,1500,cash
2024-07-01,income,Salary,Monthly salary - TCS,82000,bank_transfer
2024-07-03,expense,Rent,House rent July,18000,bank_transfer
2024-07-05,expense,Groceries,BigBasket + DMart,3400,upi
2024-07-06,expense,Transport,Cab rides,1100,upi
2024-07-08,expense,Food & Dining,Swiggy + dining,2500,upi
2024-07-10,expense,Utilities,Bills July,1750,upi
2024-07-12,expense,Entertainment,OTT platforms,999,credit_card
2024-07-14,expense,Shopping,Monsoon shopping,2900,credit_card
2024-07-15,income,Freelance,ML model project,18000,bank_transfer
2024-07-18,expense,Health,Medicines + checkup,1800,upi
2024-07-20,expense,Education,Kaggle premium,1200,upi
2024-07-22,expense,Food & Dining,Birthday treats,2100,cash
2024-07-25,expense,Savings,RD installment,5000,bank_transfer
2024-07-28,expense,Miscellaneous,Umbrella + misc,800,cash
2024-08-01,income,Salary,Monthly salary - TCS,82000,bank_transfer
2024-08-03,expense,Rent,House rent August,18000,bank_transfer
2024-08-05,expense,Groceries,Monthly grocery run,3000,upi
2024-08-06,expense,Transport,Cab + metro,1200,upi
2024-08-08,expense,Food & Dining,Swiggy + outside,2300,upi
2024-08-10,expense,Utilities,Electricity + internet,1800,upi
2024-08-12,expense,Entertainment,Movies + streaming,1100,credit_card
2024-08-14,expense,Shopping,Back to basics shopping,3200,credit_card
2024-08-15,income,Freelance,Data pipeline project,25000,bank_transfer
2024-08-18,expense,Health,Gym + pharmacy,2200,upi
2024-08-20,expense,Education,Online certification,5999,credit_card
2024-08-22,expense,Travel,Shimla trip,18000,credit_card
2024-08-25,expense,Savings,RD installment,5000,bank_transfer
2024-08-28,expense,Food & Dining,Post trip dinner,1500,upi
2024-09-01,income,Salary,Monthly salary - TCS,82000,bank_transfer
2024-09-03,expense,Rent,House rent September,18000,bank_transfer
2024-09-05,expense,Groceries,BigBasket,2800,upi
2024-09-06,expense,Transport,Rides,950,upi
2024-09-08,expense,Food & Dining,Zomato + dining,2600,upi
2024-09-10,expense,Utilities,Bills,1700,upi
2024-09-12,expense,Entertainment,Streaming,649,credit_card
2024-09-14,expense,Shopping,Festive shopping,6500,credit_card
2024-09-15,income,Freelance,Dashboard + analytics,14000,bank_transfer
2024-09-18,expense,Health,Annual dental,3000,credit_card
2024-09-20,expense,Education,Workshop registration,2000,upi
2024-09-22,expense,Food & Dining,Navratri celebration,1800,cash
2024-09-25,expense,Savings,RD installment,5000,bank_transfer
2024-09-28,expense,Miscellaneous,Festival gifts,3000,cash
2024-10-01,income,Salary,Monthly salary - TCS,82000,bank_transfer
2024-10-03,expense,Rent,House rent October,18000,bank_transfer
2024-10-05,expense,Groceries,Diwali grocery,4000,upi
2024-10-06,expense,Transport,Rides,1300,upi
2024-10-08,expense,Food & Dining,Festive orders,3200,upi
2024-10-10,expense,Utilities,Bills October,1900,upi
2024-10-12,expense,Entertainment,Diwali movies,1500,credit_card
2024-10-14,expense,Shopping,Diwali shopping,8500,credit_card
2024-10-15,income,Freelance,Automation project,10000,bank_transfer
2024-10-18,expense,Health,Pharmacy,700,upi
2024-10-20,expense,Education,Python advanced,3499,credit_card
2024-10-22,expense,Miscellaneous,Diwali gifts + sweets,4500,cash
2024-10-25,expense,Savings,RD installment,5000,bank_transfer
2024-10-28,expense,Food & Dining,Post Diwali dinner,1200,upi
2024-11-01,income,Salary,Monthly salary - TCS,82000,bank_transfer
2024-11-03,expense,Rent,House rent November,18000,bank_transfer
2024-11-05,expense,Groceries,BigBasket,2700,upi
2024-11-06,expense,Transport,Cab rides,1000,upi
2024-11-08,expense,Food & Dining,Swiggy + zomato,2400,upi
2024-11-10,expense,Utilities,Bills,1750,upi
2024-11-12,expense,Entertainment,OTT + games,1200,credit_card
2024-11-14,expense,Shopping,Winter clothes,4800,credit_card
2024-11-15,income,Freelance,React + Node project,20000,bank_transfer
2024-11-18,expense,Health,Gym + medicines,1900,upi
2024-11-20,expense,Education,Coursera course,1999,credit_card
2024-11-22,expense,Food & Dining,Office party,2500,credit_card
2024-11-25,expense,Savings,RD installment,5000,bank_transfer
2024-11-28,expense,Miscellaneous,Year-end misc,1800,cash
2024-12-01,income,Salary,Monthly salary - TCS,82000,bank_transfer
2024-12-03,expense,Rent,House rent December,18000,bank_transfer
2024-12-05,expense,Groceries,Monthly grocery,3300,upi
2024-12-06,expense,Transport,Rides December,1400,upi
2024-12-08,expense,Food & Dining,Christmas + New Year,4500,credit_card
2024-12-10,expense,Utilities,Winter bills,2100,upi
2024-12-12,expense,Entertainment,Year-end movies + OTT,2000,credit_card
2024-12-14,expense,Shopping,Christmas gifts + year-end,7000,credit_card
2024-12-15,income,Freelance,Year-end data project,16000,bank_transfer
2024-12-18,expense,Health,Annual health checkup,4000,credit_card
2024-12-20,expense,Education,Certification exam fee,5000,credit_card
2024-12-22,expense,Travel,New Year trip,20000,credit_card
2024-12-25,expense,Savings,RD installment,5000,bank_transfer
2024-12-28,expense,Miscellaneous,Year-end wrap up,2500,cash
